ant	n. 蚂蚁
implicit	adj. 暗示的,盲从的 [计算机] 隐式
vanish	vi. 消失,不见了,绝迹 vt. 消失
elastic	adj. 有弹性的,灵活的,可变的 n. 橡皮圈,有松紧的东西
generator	n. 发电机, 发生器
handout	n. 散发材料(免费发给的新闻通报)
mechanic	adj. 手工的 n. 技工,机修工
frog	n. 蛙,马的蹄叉,刀剑的挂环
censor	n. 检查员, 潜意识的抑制,为Freud学派的术语 v. 检查
initiation	n. 开始, 启蒙, 入会
coronary	adj. 冠状的, 冠状动脉或静脉的，心脏的 n.冠状动脉或静脉，冠状动脉血栓形成，心脏病发作
lateral	adj. 侧面的,横向的,旁边的 n. 分流,后传,后音 vi. 完成横向穿越
disturbance	n. 扰乱,骚动
yeast	n. 酵母
heighten	v. 增高,提高,加强
progression	n. 前进
vigorous	adj. 精力充沛的,元气旺盛的,有力的
tailor	n. 裁缝师,成衣匠 vt. 缝制,适应,试穿,修改 vi. 做裁缝
millimeter	n. 毫米
counselor	n. 顾问, 参事, 法律顾问
transparency	n. 透明度, 幻灯片
weed	n. 杂草,菸草 vi. 除草 vt. 除草,摆脱
attain	vt. &vi. 达到,获得
coherent	adj. 互相耦合的,清晰的，明了的，凝聚性的,连贯的
rack	n. (行李)架,拷问台,齿轨 vt. 折磨,使痛苦,拷问 vi. 顶风飞行
humanitarian	n. 人道主义者, 博爱者, 基督凡人论者 adj. 人道主义的, 博爱的, 相信基督为凡人的
constrain	vt.强迫； 强使； 限制； 约束
rainfall	n. 降雨，降雨量
bronze	adj. 青铜色的 n. 青铜, 青铜色, 青铜制品, 铜牌(第三名) vt. 使成青铜色
radius	n. 半径,桡骨,半径范围,辐射区
theorist	n. 理论家
ounce	n. 盎司
completion	n. 完成,完满
molecular	adj. 分子的
creep	vi. 爬, 蔓延 n. 爬, 徐行, 蠕动
settler	n. 移居者；殖民者
buffer	n. 缓冲,缓冲区 vt. 减轻,缓冲
crude	adj. 粗鲁的,简陋的,天然的,未加工的 n. 原油
contend	vi. 奋斗,斗争,辩论 vt. 坚持认为,竞争
goat	n. 山羊,好色之徒,替罪羔羊
specialty	n. 专门,特别,特性,特产
correlate	n. 有相互关系的东西, 相关物 v. 使有相互关系, 互相有关系
debris	n. 碎片, 残骸
appetite	n. 爱好,嗜好,食欲,胃口,欲望
gradual	adj. 逐渐的, 逐步的
cushion	n. 垫子, 橡皮软垫, 缓冲 vt. 加垫褥, 放在垫子上, 保护, 减缓, 为...装垫子
China	n. 瓷器；中国 adj. 瓷制的（小写时）
therapist	n. 临床医学家
cargo	n. 船货, 货物
neuron	n. 神经元, 神经细胞
palm	n. 手掌, 棕榈树 vt. 把...藏于手中, 用手掌击(球)
cylinder	n. 汽缸, 圆筒, 圆柱体
slavery	n. 奴役，奴隶制，奴隶身份
unify	v. 统一,使成一体
width	n. 宽度,广度,某一宽度的材料
vegetation	n. 植物,草木,(植物)生长
verbal	adj. 动词的,口头的,用言辞的,用文字的 n. 动名词
partially	adv. 部份地, 一部份地, 不公平地
deficiency	n. 缺乏,不足,缺点
polar	adj. 两极的,南辕北辙的,极地的 n. 极线,极性
disrupt	adj. 分裂的,分散的 v. 使...分裂,使...瓦解
mercy	n. 怜悯, 宽恕, 仁慈, 恩惠, 幸运
inability	n. 无能,无力
decay	n. 衰退, 腐败 v. 衰退, 腐败
shipment	n. 装船,货物,出货
shorten	v. 弄短, 变短
pavement	n. 人行道
economical	adj. 节俭的, 经济的, 合算的
syllable	n. 音节 vt. 分音节
approximation	n. 接近，近似，近似值
miner	n. 矿工
distinctive	adj. 有特色的,出众的
aerosol	n. 浮质，喷雾剂
peasant	n. 农民 n. 民工
aggregate	n. 合计, 总计, 集合体 adj. 合计的, 集合的, 聚合的 v. 聚集, 集合, 合计
grin	v. 露齿而笑，咧着嘴笑 n. 露齿笑
respiratory	adj. 呼吸的
worm	n. 虫,蠕虫 vt. 蠕动,驱虫,慢慢探听出 vi. 蠕动
dairy	adj. 牛奶的 n. 牛奶场, 乳品店, 乳制品
worship	n. 崇拜, 爱慕, 做礼拜 vi. 做礼拜 vt. 崇拜, 爱慕
disperse	vt. 分散,传播,散开 vi. 分散
sniff	n. 以鼻吸气,吸入的东西,吸气(声),一股气味 vi. 用鼻吸气,嗤之以鼻,找出 vt. 用鼻吸气,以轻蔑的口吻说,嗅到
linear	adj. 直线的，线性的，长度的
feasible	adj. 可行的,可能的
harmful	adj. 有害的
timber	n. 木材,木料
soften	v. 使...变柔软,变柔和,减轻
permanently	adv. 永久地
philosopher	n. 哲学家，思想家，达观者
certainty	n. 确定, 确实的事情
spice	n. 药料, 香料, 情趣 vt. 用香料调味
spiral	n. 旋涡, 螺旋形之物 adj. 螺旋形的, 盘旋的 v. 成螺旋状下降或上升, 成螺旋状旋转
evolutionary	adj. 发展的(展开的,调优的)
oxidize	v. 氧化,生锈 vt.&amp;adv. 使氧化
exploitation	n. 开发,开采,自私的利用
dialect	n. 方言
atomic	adj. 原子的, 原子能的
configuration	n. 结构,布局,形态,格式塔心理完形 [计算机] 配置
dictate	vi. 听写 vt. 口述,口授 n. 命令,指挥,指令
prevalence	n. 传播, 流行, 普及
morphology	n. 形态学，语形论，形态论
fetch	n. 取得 vt. 取来,带来,航行到达 vi. 取回,兜圈子
fever	n. 发烧,狂热 vt. 激怒 vi. 发烧
pine	n. 松树,松木 vi. 消瘦,憔悴,渴望
automobile	n. 汽车 adj. 汽车的
empirical	adj. 经验主义的
onset	n. 攻击, 进攻, 肇端
chill	n. 寒冷,寒意,失意, 恐惧 adj. 寒冷的,冷漠的，感冒的, 扫兴的 vt. 使...寒心,冷冻,使...惊恐, 使泄气 vi. 变冷，发抖, 凝固, 感到寒冷
rocky	adj. 岩石的, 像岩石的，坚硬的，麻木的
footnote	n. 脚注, 补充说明 vt. 给...作脚注
entail	vt. 使必需,使蒙受;限定继承 n. 限定继承权
lecturer	n. 演讲者, 讲师
circular	adj. 循环的,圆形的 n. 传单,通报
disgust	n. 厌恶,嫌恶 vt. &vi. 令人厌恶
rose	n. 玫瑰,蔷薇 v. (rise的过去式) 起立,上升,升起 adj. 玫瑰色的,玫瑰的
privately	adv. 私下地，秘密地
haul	n. 拖;大批赃物;一网的捕获量;拖运货物的距离 vt. 用力拖拉,用车运送,改变方向,把某人带上来审问或训斥 vi. 拉,行进,提供交通,改变风向
classification	n. 分类,分级
taxation	n. 课税, 征税, 税金
computation	n. 计算，计算机的使用，计算方法，计算结果
polish	n. 磨光，擦亮；擦亮剂；优雅，精良 vi. 擦亮，变光滑 vt. 磨光，使发亮；使完美; 改进 v. 磨光；修改；润色 adj. 波兰的
evoke	vt. 唤起,引起
arc	n. 弧,弧形物 vi. 形成电弧,按弧形轨迹行进
recipient	n. 接受者, 收信人
triangle	n. 三角(形)
nucleus	n. 核,核心,细胞核,原子核
hollow	n. 洞, 窟窿, 山谷 adj. 空的, 虚伪的, 空腹的 vt. 形成空洞, 挖空 vi. 形成空洞 adv. 有闷哑声, 完全地
static	n. 静电, 静电干扰, 噪声, 阻碍, 抨击 adj. 静态的,静电的,固态的
statue	n. 塑像,雕像
spider	n. 蜘蛛
independently	adv.独立地,自立地
protocol	n. 草案, 协议,礼仪 vt 拟定议定书
horizontal	adj. 水平的,横的 n. 水平线,水平面
horn	n. 喇叭 n.(牛、羊等的)角, 喇叭, 触角 v.装角
terrain	n. 地带,地域,地形
threshold	n. 极限,门槛,入口,开端
collaboration	n. 合作, 通敌
null	adj. 无效力的,无效的,无价值的 n. 零 [计算机] 空 vt. 使无效
powder	n. 粉,粉末,细雪,火药 vt. 洒粉于,使变成粉,重击 vi. 变成粉,涂粉
admiration	n. 钦佩, 赞赏
offspring	n. 子孙, 后代, 产物
ideological	adj. 意识形态的，思想上的
collision	n. 碰撞, 冲突
embed	vt. 栽种，使嵌入，使深留脑中
precision	n. 精确,精密度 adj. 以精准的执行而著称的, 经得起极精细测量的
discard	n. 丢牌,废牌 vt. 丢弃,抛弃 vi. 丢牌
offshore	adj. 海面的,吹向海面的 adv. 向海面
transplant	vt. 移居, 移栽(植物), 移植(器官) vi. 能经得住移植 n. 移植, 被移植的事物
forehead	n. 额,前额
toddler	n. 初学走路的孩子
messenger	n. 报信者, 先驱
memorable	n. 值得纪念的事物 adj. 值得纪念的
formulate	vt. 规划；用公式表示；明确地表达
randomize	vt. 形成不规则分布，使...随机化
sustainable	adj. 可以忍受的；足可支撑的；养得起的；可持续的
individually	adv. 个别地，单独地，独特地
diagnostic	adj. 特征的,诊断的 n. 诊断程序, 症状, 诊器
amusement	n. 娱乐, 消遣
limb	n. 树枝,四肢,枝干,边缘 vt. 切断手足,切断树干
patron	n. 赞助人, 保护人, 老主顾
fusion	n. 融合物,结合,融合
constructive	adj. 建设性的, 构造上的, 作图的
algebra	n. 代数学
vector	n. 向量,矢量,带菌者 vt. (无线电)导引 adj. 向量性的
adaptive	adj. 适合的,适应的,能适应的
occurrence	n. 发生,事件,发现
unstable	adj. 不稳定的，易变的
peripheral	adj. 不重要的,外围的 n. 外围设备
blade	n. 刀锋, 刀口
quantum	n. 分配量, 额, 量
frown	n. 皱眉, 不悦 vt. &vi. 皱眉头, 不同意
void	n. 空虚,空白, 真空 adj. 空的,缺乏的,无效的 vt. 清空,释放,取消,离开 vi. 排泄
pest	n. 害虫
nicely	adv. 漂亮地, 爽快地, 恰好地
gossip	n. 闲聊,随笔 vi. 散播流言蜚语
convergence	n. 汇聚,汇合点,收敛
omit	vt. 省略,疏忽,遗漏
fetal	adj. 胎儿的,胎的
aboard	adv. 在船上,在火车上,在飞机上 prep. 上船，上飞机，上车
contributor	n. 贡献者, 捐助者, 赠送者，投稿人
linguistics	n. 语言学
gasoline	n. 汽油
developmental	adj. 发展上的, 进化的，开发的
absorption	n. 吸收,全神贯注
immune	adj. 免除的,免疫的 n. 免疫者
acceleration	n. 加速,促进,加速度
millennium	n. 一千年, 太平盛世
loop	n. 环,圈,弯曲部份,回路 vt. 使...成环,以圈结,以环连结 vi. 形成环,环形地行动
precipitation	n. 坠落, 沉淀, 凝结; 冰雹
genius	n. 天才, 高智力, 天赋
media	n. (medium的复数)媒体,新闻媒介,传播媒介
urine	n. 尿
geography	n. 地理
cue	n. 字母Q,信号,线索,球杆 vt. 暗示,用球杆打球 vi. 使用球杆
fertilization	n. 受精，肥沃化
morphological	adj.形态学(上),语形学的
bud	n. 芽, 花蕾 vi. 发芽, 萌芽 vt. 使发芽
verify	v. 查证,核实 n.[计算机] DOS命令 : 打开关闭在 DOS操作期间的写文件校验开关
prey	n. 被掠食者,牺牲者 vi. 捕食,掠夺,使...苦恼
migration	n. 移民,移往,移动
principally	adv. 主要地
lesser	adj. 较少的, 较小的, 次要的
contradiction	n. 反驳,矛盾,不一致,否认
bee	n. 蜜蜂
severely	adv. 严重地(艰难地, 紧凑地, 纯朴地)
MA	n. &lt;口&gt;妈
monetary	adj. 货币的,金融的
avenue	n. 林荫道, 大街, 途径手段
postgraduate	n. 研究生 adj. 大学毕业后的
closet	n. 壁橱,衣帽间 adj.（用于名词前）隐藏（身分等）的；不公开（个人信息）的 vt. 把…关在房间里（尤指为了私下会谈或避免他人打扰）
mat	n. 垫,丛,衬边,消光面 vt. 遮盖, 保护, 用垫子装饰, 使纠缠,铺席于...上,使...无光泽,给(照片)镶框 vi. 缠结
optical	adj. 眼睛的, 视觉的, 光学的
coincide	v. 与...一致,符合,暗合
anti	n. 反对者 adj. 反对的 prep. 反对
voyage	n. 航行,旅程 vt.& vi. 航行,旅行
organism	n. 生物体, 有机体
motif	n. 主题, 意念, 动机
alright	adj. <非标准用语>很好的，没问题的，满意的 adv. 很好，没问题地，令人满意 =all right
potassium	n. 钾
ideology	n. 观念学, 空论, 意识形态
indirect	adj. 间接的, 迂回的，次要的，不坦率的，欺骗的
glory	n. 光荣,荣誉,壮丽,赞颂 vi. 为...而骄傲自豪 interj. 用于表示惊叹
envy	vt. &vi. 嫉妒,羡慕 n. 妒忌,羡慕
lens	n. 镜头,透镜
realization	n. 实现,领悟,实得
plausible	adj. 似真实的,似合理的,说得蛮像回事的
plow	n. 犁,耕地 vt. 耕犁, vi. 用犁,费力前进,辛苦进行
complication	n. 并发症；复杂；复杂化；混乱
woodland	n. 森林地, 林地 adj. 林地的
inhabit	v. 居住于, 占据, 栖息
mole	n. 痣, 鼹鼠
conception	n. 概念,观念,构想,怀孕
ink	n. 墨水
preservation	n. 保存
conform	vt. 使一致,遵守,使顺从 vi. 一致,符合
outlook	n. 观点,见解,展望,前景
constituent	n. 成份,选民,构成物 adj. 构成的,组织的,有提名权的
rhetoric	n. 修辞, 华丽虚饰的语言, 修辞学
variance	n. 不一致, 变化; [数]方差
simplicity	n. 单纯, 简朴
simplify	v. 简化, 使单纯 vt. 简化
longitudinal	adj. 经线的, 纵向的, 长久的
tutor	n. 家庭教师,导师 vt. 监护,指导 vi. 当导师(私人教师)
instantly	adv. 立即地, 即刻地
estimation	n. 判断, 估计, 尊重
instinct	n. 本能, 天性, 直觉
replicate	vt. &vi. 折叠,复制,模写 n. 同样的样品 adj. 转折的
cultivate	vt. 培养,耕作,栽培,结交(朋友), 促进增长, 教养
mathematical	adj. 数学的，精确的，可能性极小的
unfamiliar	adj. 不熟悉的
insure	vt. 保险,确保 vi. 买保险
applicable	adj. 合适的,适用的
inject	v. 注射
countless	adj. 无数的，数不尽的
retrieve	vt. 挽回,恢复,回忆,补偿 vi. 找回猎物 n. 取回,恢复
cage	n. 笼子 v. 关入笼中 vt. 把...关入笼内
calcium	n. 钙
textbook	n. 课本, 教科书
dam	n. 水坝 vt. 筑坝,抑制(情感）等
intermediate	adj. 中级的,中间的 n. 中间体,媒介物, 调解人 vi. 调解, 干涉
hydrogen	n. 氢
parcel	n. 包裹，小包 vt. 打包；捆扎
invade	vt. 侵略,侵害,拥入
hierarchy	n. 等级制度，层级[计],统治集团
conceal	vt. 隐藏, 掩盖
ion	n. 离子
Mercury	n. 水银, 水星
irregular	n. 不合规格之物 adj. 不规则的, 不整齐的, 不合法的
shatter	n. 碎片,乱七八糟的状态 vt. 打碎,破掉,散开 vi. 打破,脱落
deceive	vt. 欺骗 vi. 行骗
rejection	n. 拒绝, 被弃, 被抛弃的实例
oscillation	n. 振动, 动摇, 彷徨，振幅，单一的振动循环
descent	n. 下落,家世,倾斜,侵袭
deed	n. 事迹, 行为，（尤指房产）契约，证书 vt. 通过行为转化
deepen	vt. 使...加深, 使...强烈 vi. 加深，变浓
deer	n. 鹿
thoughtful	adj. 深思的,体贴的
diagnose	v. 诊断 vi. 判断,诊断(疾病) vt. 诊断(疾病)
reproduce	v. 再生, 复制, 生殖
aesthetic	adj. 美学的,审美的,有美感的 n. (复数)审美观
inclusion	n. 包含
likelihood	n. 可能性
ecological	adj. 生态的, 生态学的
hardship	n. 艰难, 困苦
align	vt. 使成一行, 使一致, 使结盟, 调整, 排列 vi. 成一条线
inferior	adj. 次等的, 较低的, 不如的
distort	vt. 变形,扭曲,歪曲 vi. 歪曲
predictable	adj. 可预言的
scripture	n. 经文，圣书，手稿 Scripture: (常用复数)《圣经》，《圣经》中的一段
monkey	n. 猴子 v. 胡闹, 乱弄
dimensional	adj.空间的
lexical	adj. 字典的, 语句的
southwest	n. 西南, 西南风, 西南地区 adj. 西南的, 来自西南方的 adv. 往西南, 来自西南
speculate	vt. 推测,好奇 vi. 深思,投机
magnitude	n.巨大，广大； 重大，重要； 量级； （地震）级数
devise	vt. 设计,遗赠 n. 遗赠(的财产)
beast	n. 畜牲 n. 凶残的人, 令人厌憎的人
stalk	n. 茎,追踪,高视阔步 vt.& vi. 悄悄靠近,蔓延,高视阔步
dial	n. 刻度盘,针面,转盘 vt. 用仪表测量，操作仪表 vi. 拨号，用仪表测量 [计算机] 拨号
rib	n. 肋骨,嘲笑 vt. 嘲笑
ecology	n. 生态学
economically	adv. 在经济上，节约地
antiquity	n. 高龄, 古老, 古物, 古迹
fertility	n. 肥沃, 丰饶, 生产力
solvent	n. 溶剂,解决者 adj. 有偿付能力的,有溶解力的
abundance	n. 丰富,充裕
chemistry	n. 化学,化学性质,相互作用
additionally	adv. 另外(加之, 又)
splash	n. 飞溅的水, 污点, 卖弄 v. 溅湿, 溅开
splendid	adj. 辉煌的；灿烂的；极好的；杰出的
migrate	v. 移动,移往,随季节而移居 [计算机] 迁移
tech	n. 技术人员，技术科技 abbr.(=technical, technically, technological)
livestock	n. 家畜, 牲畜
rocket	n. 火箭, 烟火 v. 发射火箭, 猛涨
locus	n. 场所, 所在地, 轨迹
supervise	vt. 监督,管理,指导
circulate	vi. 流通,循环,传播 vt. 使流通
paradigm	n. 例子,模范,词形变化表
ample	adj. 充足的,丰富的,宽敞的
autonomous	adj. 自治的
premiere	v. 初次公演, 初演主角
applause	n. 鼓掌, 喝彩, 赞许
archaeology	n. 考古学，古迹，文物
dissolve	vt. 消除,解散,使溶解,解决(问题),使沮丧 vi. 消散,溶解, 解散, 液化,变得模糊 n. 叠化画面
clay	n. 粘土,泥土
municipal	adj. 市的,市政的 n. 政府证券
clone	n. 克隆，无性繁殖，复制品 v. 克隆，复制
confer	vi. 商讨 vt. 赠予,授予
pond	n. 池塘 vt. 堵河成湖 vi. 形成池塘
exclusion	n. 排除,除外,逐出
lyric	adj. 抒情的 n. 抒情诗
technically	adv. 技术上, 学术上, 专门地
flourish	vi. 繁荣,茂盛,活跃,手舞足蹈 vt. 挥舞 n. 挥舞,华丽词藻,茂盛,兴旺,炫耀
upcoming	adj. 即将来临的, 预定将要
electron	n. 电子
thermal	adj. 热的,热量的,保热的 n. 上升的热气流
mediate	adj. 居间的,间接的 vt.& vi. 斡旋,调停
whatsoever	adv. (用于否定句中以加强语气)任何 pron.&amp;adj. 无论什么
novice	n. 新手,初学者
syntax	n. 句法
domination	n. 支配, 控制, 管辖 （复数）dominations:[宗]主天使
tile	n. 砖瓦 vt. 铺以瓦,铺以瓷砖
ballet	n. 芭蕾舞
noble	adj. 高尚的, 宏伟的, 贵族的, 高贵的 n. 贵族
banker	n. 银行家
transcription	n. 抄写，誊写，录音，编曲 [生]转移
differentiate	vt. 识别, 使差异, 求导数, 区分, 区别对待 vi. 区别,变异
sailor	n. 海员, 水手，扁平的硬边草帽
rehabilitation	n.复原
prose	adj. 散文的 n. 散文
dwell	vi. 居住, 存在, 冥想, 详细阐述
reactive	adj. 反动的, 反应性的, 反冲的
audio	adj. 成音频率的,声音的 n. 音响设备
wholly	adv. 完全地，一概
optimal	adj. 最佳的, 最理想的
presently	adv. adv. 不久, 一会儿, 现在, 目前
lid	n. 盖
alike	adj. 相似的,同样的 adv. 一样,以同样的方式
scarce	adj. 缺乏的,不足的,稀少的,罕见的 adv. 勉强
forum	n. 论坛, 讨论会
unprecedented	adj. 空前的,前所未有的
fringe	n. 流苏,次要,（地区或群体）边缘,（沿…边缘的）一排（树木、房屋等）vt. 用流苏修饰,镶边
drought	n. 干旱
inadequate	adj. 不充分的,不适当的
validity	n. 有效性,正确性,正当
biology	n. 生物学
vein	n. 静脉,纹路,岩脉,情绪,风格,气质 vt. 饰以纹路
toe	n. 脚趾,足尖 vt. 趾触,趾踢 vi. 踮着脚尖走
trauma	n. 精神创伤,外伤
trans	n. 会报(论文，传导，变压器，翻译，译员)
unpleasant	adj. 使人不愉快的, 讨厌的
connotation	n. 隐含意义，某事的重要性
unusually	adv. 异乎寻常地(显著地,非常)
affordable	adj. 支付得起的, 不太昂贵的
halfway	adj. 中途的, 不彻底的 adv. 半路地, 在中途
nonlinear	adj. 非线性的
amino	adj. 氨基的 pref. 表示“氨基”
photography	n. 摄影术
atom	n. 原子
semester	n. 学期
penetration	n. 渗透,侵入,突破,
notation	n. 记号法,表示法,注释 [计算机] 记法
mobility	n. 可动性, 变动性, 情感不定
elasticity	n. 弹力, 弹性
reside	v. 住,居留,属于
converge	vi. 聚合,集中于一点 vt. 使集合
creativity	n. 创造力, 创造
precipitate	vt. 使...陷入,促成,使...沉淀, 猛摔 n. 沉淀物, 冷凝物 adj. 仓促的, 迅猛的, 感情用事的
intact	adj. 尚未被人碰过的,原封不动的,完整的, 完好无缺的
newcomer	n. 新来的人, 新手
volatile	adj. 反复无常的, 挥发性的, 稍纵即逝的, 脾气火爆的 n. 挥发性物质
binary	adj. 二进位的,二元的 n. 二进制,二元
surgical	adj. 外科的, 外科医生的, 手术上的
viewpoint	n. 观点, 看法
beautifully	adv. 美丽地, 漂亮地
magnetic	adj. 有磁性的,有吸引力的,催眠术的
magnificent	adj. 壮丽的,宏伟的,极好的
momentum	n. 动力,要素, 势头,（物理）动量
mainland	n. 大陆, 本土
persistent	adj. 固执的,坚持的,连续的
vitamin	n. 维生素
copper	adj. (紫)铜色的,铜(制)的 n. 铜,铜币,铜制品
colonial	adj. 殖民地的 n. 殖民地居民
radar	n. 雷达
quantitative	adj. 数量的,定量的
cord	n. 绳索,束缚 vt. 用绳索绑
enormously	adj. 巨大的,庞大的 adv. 巨大地
qualitative	adj. 性质上的, 质的, 定性的
differential	adj. 微分的；差别的；特异的 n. 微分；差别差额
overview	n. 概观(况),总结 [计算机] 概貌
synthesis	n. 合成,综合,推理
rewrite	n. 重写, 改写 vt. 改写, 重写 vi. 修改
ration	n. 定额,定量,配给 vt. 限量供应
insufficient	adj. 不足的
partition	n. 分割,隔离物,隔墙 v. 区分,隔开,分割
compensate	vt. &vi. 偿还,补偿,付报酬
recount	vt. 详述,列举,重新计算 n. 重新计算
educator	n. 教育家，教育工作者
enzyme	n. 酶
ray	n. 光线, 射线, 雷(男子名)
breakthrough	n. 突破
relaxation	n. 松弛,放松,减轻
plantation	n. 种植园，大农场，殖民地
dioxide	n. 二氧化物
romance	n. 冒险故事, 浪漫史, 传奇文学
marine	n. (海军)士兵或军官, 海景画 adj. 海的,海事的,船舶的,航海的
realm	n. 王国,领域
resent	v. 愤恨,憎恶,怨恨
indigenous	adj. 该土地所固有的,土著的,国产的
simulate	v. 假装,冒充,模仿,模拟
thickness	n. 厚度, 一层, 含混不清
cooperative	adj. 合作的,共同的 n. 合作社
helix	n. 螺旋，螺旋状物，耳轮
goodness	n. 善良, 美德，精华 int. 天哪
recorder	n. 记录员，记录器（录音机等） n. （英国某些市镇的）首席法官，市法院法官 n. 竖笛
incumbent	adj. 凭依的, 依靠的, 负有义务的 n. 领圣职的俸禄的牧师, 在职者
trait	n. 特征,特点,特性,品质
spontaneous	adj. 自发的, 自然产生的
resentment	n. 怨恨, 愤恨
coordination	n. 同等,调和
intensive	adj. 强烈的, 密集的, 精细的, 强调的 n. (语法)强调成份
inland	adj. 内陆的, 国内的 adv. 内陆地 n. 内陆
replication	n. 复制
restoration	n. 恢复, 归还, 复位
vulnerability	n.弱点,攻击
inspiration	n. 灵感,吸入,鼓舞人心(的东西)
grammatical	adj. 语法的, 合乎文法的
damp	n. 毒气,湿气,丧气 adj. 潮湿的 vt. 呛,抑制,使潮湿 vi. 衰减
gravity	n. 地心引力,重力,严重,庄重,严肃
stereotype	n. 铅版,陈腔滥调,老一套 vt. 使用铅版,套用老套
widen	vt. 弄宽
pardon	n. 原谅,赦免 vt. 宽恕,原谅
darling	n. 亲爱的, 可爱的人, 可爱的物 adj. 可爱的, 亲爱的
seemingly	adv. 表面上(看上去)
invariably	adv. 不变化地, 一定不变地, 常常地
grind	n. 磨, 碾, 挤摩擦声, 无聊的苦工作 vt. 磨, 碾, 挤压, 摇动手柄 vi. 磨擦, 磨碎, 用功
constituency	n. 选区
canal	n. 运河,沟渠,气管,食管 vt. 建运河,疏导
warfare	n. 战争,冲突
shaft	n. 轴,杆状物 vt. 装杆于,利用
wireless	adj. 无线的 n. 无线电,收音机 v. 用无线电发送(通讯)
courtyard	n. 庭院, 院子
hurricane	n. 飓风,飓风般猛烈的东西 adj. 有防风罩的
multinational	adj. 多国的, 多种国籍的 n. 多国籍公司, 跨国公司
interference	n. 冲突, 干涉 [计算机] 干涉
remarkably	adv. 显著地, 引人注目地, 非常地
reminder	n. 提醒的人,催函
thirst	v. 渴望,渴求 vi. (for)渴望,渴求 vt.&amp;n. 渴,渴望
kidney	n. 肾,腰子,类型
utter	adj. 全然的,绝对,完全 vt. &vi. 发出,作声,发表
secular	n. 牧师,凡人 adj. 世俗的,现世的,不朽的
sediment	n. 沉淀物
leaflet	n. 小叶,传单 vt.& vi. 散发传单
documentation	n. 文件
dilute	vt. 冲淡,稀释 adj. 冲淡的,稀释的,微弱的
denominator	n. 分母,平均水平
subjective	adj. 主观的 n. 主格,主观事物
inversion	n. 倒转, 反向, 倒置
utilize	vt. 利用
reservoir	n. 水库,蓄水池,积蓄,储藏
thumb	n.拇指； （手套的）拇指部份 vi.翘起拇指请求搭乘（过路汽车），示意请求搭便车； 翻阅 vt.翻阅； 作搭车手势； 用拇指翻脏[翻坏]（书页等）
resistant	adj. 抵抗的,反抗的 n. 抵抗者
tiger	n. 老虎
perfume	n. 香水,香气 v. 洒香水于,薰香
affirm	vt. 证实,断言,肯定 vi. 断言,申明
ceramic	adj. 陶器的 n. 陶器, 陶瓷学
chunk	n. 厚块（片）, 相当大的量，矮胖的人或物 vt. （高尔夫球）没击中 vi. 发出猛冲的声音
legendary	adj. 传说的, 富有传奇色彩的, 传奇的
dissection	n. 解剖, 切开，剖析
cement	n. 水泥,纽带,接合剂,牙骨质,补牙物,基石 vt. 接合,用水泥涂 vi. 接合起来
divine	adj. 神的,神圣的 vt. 推断 vi. 预言,理解 n. 牧师,神学家
marketplace	n. 集会场所, 市场 商场
disruption	n. 分裂, 毁坏
spectator	n. 观众, 旁观者
shiny	adj. 有光泽的, 发光的, 辉煌的
demographic	人口统计学的 adj. 人口的,人口统计的
characterization	n. 描绘、刻画
anthropology	n. 人类学
butterfly	n. 蝴蝶,蝶状物,蝶泳 vt. (烹饪时把鱼肉等）切开摊平
parental	adj. 父母的
fertilizer	n. 肥料
straightforward	adj. 笔直的, 率直的
magical	adj. 魔术的，有魔力的，神奇的
chemist	n. 化学家, 药剂师
syllabus	n. 摘要,课程表
prone	adj. 俯卧的, 易于...的, 有...倾向的
directive	adj. 指导的, 指挥的, 管理的 n. 指令 [计算机] 指令
problematic	adj. 问题的, 有疑问的
successor	n. 接班人,继任人
reactor	n. 反应者，反应堆
manipulation	n. 操作，控制，窜改
equivalence	n. 相等, 等值
amplitude	n. 广阔, 充足, 增幅 n. 振幅、波幅(物理)
transparent	adj. 透明的, 明显的, 清晰的
detection	n. 察觉, 发觉, 侦查, 探测
annually	adv. 每年,年年 n. 每年
rotation	n. 旋转,循环
reconstruction	n. 复兴, 改造, 再建
micro	adj. 微小的 n. 微米(百万分之一, 测微计)
supervision	n. 监督, 管理
homeland	n. 祖国
turbulent	adj.骚乱的，混乱的； 激流的，湍流的； 吵闹的； 强横的
unity	n. 个体, 一致, 结合
neutral	adj. 中立的,中性的 n. 中立者,空挡的,素净色
terminology	n. 术语,术语学
terrace	n. 平台,阳台,梯田 v. 使成阶地,使成梯田 vt. 使成梯田
coastal	adj. 海岸的,沿海的,沿岸的
portable	adj. 轻便的,手提式的 n. 手提打字机
leaf	n. 树叶,页,活动桌板,花瓣 vt. 翻页 vi. 长叶子,翻页浏览
theorem	n. 定理
temporarily	adj. 临时的 adv. 暂时地,临时地
provincial	n. 乡下人, 地方人民 adj. 省的, 地方的, 偏狭的
sacred	adj. 神圣的,受尊重的
cliff	n. 悬崖, 峭壁
stiff	adj. 坚硬的,严厉的,呆板的,不灵活的 adv. 僵硬地,彻底地 n. 死尸, 过于拘谨的人, 流浪汉, 吝啬鬼, 醉鬼 vt. 诈骗,失信,不给小费
collar	n. 衣领,项圈 vt. 抓住,为...戴上项圈
bizarre	adj. 奇异的,怪诞的 n. 奇异花
