responsible	adj. 有责任的,负责的,责任重大的,应负责的
typically	adv. 代表性地, 作为特色地
military	adj.军事的；军用的；讨厌的；好战的 n.军人；军队；武装力量
finance	n. 财政, 资金 vt. 给...提供资金, 负担经费
comfortable	adj. 舒适的,充裕的
land	n. 陆地, 国土, 土地 v. 登陆, 登岸, 卸货
player	n. 比赛者, 演奏者，演员，播放器
episode	n. 插曲,插话,(作品的一段)情节,有趣的事件
phase	n. 相, 相位,时期,局面,阶段 v. 逐步执行,实行,按计划进行
naturally	adv. 自然地,天生地
herself	pron. 她自己
discuss	vt. 讨论
discussion	n. 讨论 v. 讨论,商议
circumstance	n. 环境,(复数)境况,事件,详情
hill	n. 小山, 小堆, 斜坡 vt. 堆起, 培土
latter	adj. 后面的,后者的 pron.&amp;n. 后者
symptom	n. 症状, 征兆
launch	n.&amp;v. 下水,发射,开始,升天,汽艇
series	n. 系列，连续
democracy	n. 民主,民主制,民主国家
session	n.开会，会议；（法庭的）开庭； 会期，学期； （进行某活动连续的）一段时间
clean	adj. 干净的, 正当的, 纯洁的, 完全的, 精准的, 空的 adv. 完全地 n. 清洁 vt. &vi. 打扫,清扫
trend	n. 趋势,倾向,方位 vi. 倾向,转向
nervous	adj. 紧张的,焦虑的,神经质的
layer	n.层，层次； 膜； [植]压条； 放置者，计划者 vt.把…分层堆放； 借助压条法； 生根繁殖； 将（头发）剪成不同层次 vi.形成或分成层次； [植]通过压条法而生根
struggle	n. 竞争,努力,奋斗 v. 努力,奋斗,挣扎
flow	vi.流； 垂； 流出； （谈话、文体等）流畅 n.流动； 滔滔不绝； 涨潮； 连贯 vt.使泛滥； 淹没； 排出
ability	n. 才能, 能力
positive	adj. 肯定的, 积极的, 绝对的 adj. 正面的, 正数的, 阳性的
frame	n. 框,结构,骨架 v. 构成，把...框起来，陷害 adj. 木结构的
deeply	adv. 深深地,强烈地，（颜色）浓浓地，（声音）低沉地
defense	n. 防卫, 防卫物, 辩护 vt. 防守
pour	n. 流出,倾泻,骤雨 vt. &vi. 倒,倾泻,蜂涌而来
addition	n. 增加,附加物,加,加法
practical	adj. 实际的,实用的,明智的 n. 实践考试
admit	vt.& vi.许可进入； 承认，供认 vt.允许； 确认 vi.承认； 允许
safety	n.安全； 安全性； 安全处所； 中卫 adj.保障安全的
hundred	n. 百,百个东西 adj. 百,百个
combine	n. 集团,联合收割机 v. 化合,结合,联合 vi. 结合,联合 vt. 使结合,使联合
prefer	vt.更喜欢； 提升，提拔； 给予（债权人）优先权； 提出（控告） vi.更喜欢，宁愿
draft	n. 草稿,草图,汇票，徵兵 vt. 起草,征兵,选秀 adj. 酝酿中的
death	n. 死,死亡，死神，毁灭
prepare	vt.准备； 预备（饭菜）； 配备； 使（自己）有准备 vt.& vi.筹备，进行各项准备工作； 做好思想准备； 作出，制订； 锻炼（身体等），训
beach	n. 海滩 v. 拖(船)上岸 vt. 使船冲上滩
ahead	adv. 向前地,将来地,占优势,提前
focus	n. 焦点, 焦距 v. 集中, 聚集, 使集中
formal	adj. 正式的,形式的,礼节上的,拘谨的 n. 正式(活动)
newspaper	n. 报纸，报社，新闻纸 v. 从事新闻工作
strike	n. 罢工, 打击, 殴打 v. 打, 撞, 罢工, 划燃
scheme	n. 方案, 计划, 阴谋 v. 计画, 设计, 体系, 结构, 图谋
sexual	adj. 性的，性欲的，有性的
structure	n. 结构,构造,建筑物 v. 构成,建立,建造
principle	n. 原则, 原理, 主义, 信念
scientist	n. 科学家
prison	n. 监狱 vt. 囚禁, 关入监狱
driver	n. 驾驶员, 司机
committee	n. 委员会
drug	n. 药,毒品 vt. 下药,使...服麻醉药 vi.吸毒
listen	v. 听，倾听 n. 听，倾听
unknown	adj. 未知的，不出名的
seat	n. 位子,所在地,中心 vi. 坐 vt. 使坐下,可容纳
unlikely	adj. 不大可能发生的,未必的,多半不可能的
progress	n. 进步, 发展, 前进 vi. 促进，进步, 进行
argue	vt. 争论,辩论,争吵,劝说,表明 vi. 提出理由,争论,辩论
argument	n. 辩论,争论,论点(据),理由
fully	adv. 十分地, 完全地, 全
odd	adj. 奇数的,古怪的,剩余的 . 奇数
promote	vt. 促进, 提升, 升迁; 发起; 促销
article	n. 文章,物品,条款,冠词 vt. 定契约
property	n. 财产; 性质; 道具
upper	adj. 上部的,地位较高的,上面的,北方的 n. 鞋帮,上牙,兴奋剂,令人愉快的经历
function	n. 功能, 函数, 重大聚会 vi. 运行, 起作用
prospect	n. 景色, 希望, 展望 v. 探勘, 寻找
funny	adj. 滑稽的,有趣的,莫名其妙的 n. 笑话,(the funny)滑稽戏
conclusion	n. 结论
construct	vt. 构造,绘制,建造,想出 n. 构想,建造物
attract	v. 吸引, 有吸引力
furthermore	adv. 而且, 此外
highlight	n. 加亮区,精彩部分, 最重要的细节或事件, 闪光点 vt. 加亮,强调, 使...显得重要, 照亮 [计算机] 醒目
encounter	n. 意外的相见,遭遇 vt. &vi. 遇到,偶然碰到,遭遇
confidence	n.信心； 信任； 秘密
supply	n. 补给,供给,供应，贮备 vt. 补给,供给,提供,提供足够以满足
bone	n. 骨,骨骼,核心 vt. 除去骨头,往衣服里加撑条,磨光表面 vi. 努力学习 adv. 非常地,极其地
edition	n. 版, 版本
border	n. 边缘 vt. 作...之疆界,加边
element	n. 成分,要素,元素,基本原理,(复数)恶劣天气
elderly	adj. 过了中年的, 稍老的
academic	n. 教学人员,学术人员 adj. 学院的,理论的,学术性的
battle	n. 战斗,争论 vt. &vi. 与...作战;与...斗争
bother	vt. 烦扰 vi. 烦扰,操心 n. 烦扰
bottle	n. 瓶子 vt.装瓶, 抑制
incorporate	vt.组成公司； 包含； 使混合； 使具体化 vi.包含； 吸收； 合并； 混合
accord	n. 一致,调和,协议，自愿 vi. (与)一致（accord with） vt.使一致，调解；给予，赠予
election	n. 选举
unemployment	n. 失业,失业人数
ball	n. 球, 舞会 v. (把...捏)成球状
electronic	adj.电子的； 电子操纵的； 用电子设备生产的； 用电子设备完成的
accuse	vt. 责备,控告
beat	n. 打,敲打声,拍子,独家报道,一会儿 vt. &vi. 打,打败
judgment	n. 裁判, 宣告, 该判决书
below	adv.在下面，到下面 prep.（表示位置）在…下面； （表示状态）在…掩饰之下； （表示比较）不及； 低于
producer	n. 生产者, 制片人
fifteen	num. 十五 pron. 十五(个, 只...) adj. 十五的，十五个的
video	adj. 录像的 n. 录像(机) vt. 制作...的录像
contrast	n.对比，对照； 差异； 对照物，对立面； [摄]反差
breath	n. 呼吸,气息,微风,迹象,精神,一种说话的声音
employ	vt. 使用, 雇用, 使忙于 n. 使用, 雇用
failure	n. 失败,失败的人或事
conversation	n. 会话,谈话
shake	n. 摇晃,震动,地震,颤抖(音),奶昔,短时间 vi. 摇晃,颤抖,跌跌撞撞,握手,发颤音 vt. 挥拳,摇晃,去除,动摇,排掉(灰尘),握手
affect	vt. 影响, 作用, 感动
copy	n.复制品； 一份； （报刊等的）稿件； 准备排印的书面材料 vt.& vi.复制； 抄写； 容许复制的 vt.模仿； 仿造…的样式或图案； 抄写； 复制
wed	v. 与...结婚,结婚 Wed abbr. 星期三(=Wednesday)
ensure	vt. 确定,保证,担保
indeed	adv. 的确, 真正地, 事实上
organization	n. 机构,组织 adj. 有组织的
origin	n. 起源,出身,开端
countryside	n. 乡下, 农村
otherwise	adv. 否则,不同地,在不同方面 pron. 其他 adj. 不同的
photo	n. 照片 vt. &vi. 拍照 adj. 摄影的
essay	n. 尝试,短文,论文 vt. 尝试
recruit	n. 招聘,新兵,新成员 vt.&vi. 恢复,补充,徵募
tea	n.茶.茶叶.茶树.茶点 vt.给.....沏茶 vi.喝茶.进茶点
tear	n. 眼泪,撕破的(洞或裂缝),撕扯 vt. 撕掉,扯下,扰乱 vi. 流泪,撕破
technique	n. 技术
context	n. 上下文, 环境,背景
revenue	n. 总收入; 财政收入, 税收 n. 税务局
official	adj. 官方的,正式的,有权威的 n. 官员
advise	vt. 劝告,警告,通知 vi. 劝告,与...商量
initially	adv. 最初, 开头
affair	n. 事件,事情,事务
application	n.适用，应用，运用； 申请，请求，申请表格； 勤勉，用功； 敷用，敷用药
reflect	v. 反映, 反射, 归咎
tennis	n. 网球
reform	n. 改革,改正,感化 vt. 改革,改正,使悔改 vi. 改良,悔改
totally	adv. 完全
skin	n.皮，皮肤； （蔬菜，水果等）外皮； 毛皮 vt.剥皮，削皮； 擦破皮，擦伤； 欺骗 vi.使愈合，长皮 adj.<俚>色情的
daily	adj. 每日的, 按天计算的, 日常的 adv. 每日,天天 n. 日报, (复)工作样片
register	v. 记录, 登记, 注册, 挂号 n. 暂存器, 记录, 登记簿 n. (语)语域; 通风调节设备
existence	n. 存在, 生存
gray	n.灰色； 灰马； 灰色颜料； 暗淡的光线 adj.灰色的； 灰白头发的； 阴暗的； （指脸因恐惧、生病等）苍白的 v.（使）变灰色 vi.成为灰色或灰白
dangerous	adj. 危险的,引起危险的
widely	adv. 广泛地
artist	n. 艺术家, 美术家, 艺人
dark	adj.黑暗的； 乌黑的； 忧郁的； 神秘的 n.黑暗； 暗色； 暗处
green	adj.绿色的； 未熟的，青春的； 未成熟的； 主张保护环境的 n.绿色蔬菜； 绿色的衣服； 植物 vi.绿化，使重视环境保护问题
data	n. (datum的复数)资料,数据
relate	vt.& vi.（把…）联系起来； 讲，叙述（故事等） vt.讲述，叙述； 使…有联系； 建立或展示联系 vi.有联系； 涉及； 符合； 发生共鸣
invest	vt.& vi.投资； 花费 vt.授予，使就职； 给…穿衣，装饰； 使充满； 覆盖
window	n. 窗户
slowly	adj. 慢慢地 adv. 缓慢地
thick	adj. 厚的,浓密(重)的,笨的 adv. 厚,浓,密 n. 密集处,最厚处
rely	v. 信赖,倚赖,信任
passage	n. 通道,走廊,一段文章,旅程 vi. 通过 vt. 通过
middle	n.中部，中间； 腰部； 中央； 正中 adj.中部的； 中央的； 正中的； 中间的 vt.把…放在中间； 把…对折 vi.放在中间； 对折
card	n. 卡片,纸牌,名片,打牌,节目单 vt. 附上或提供卡片,印卡,在卡片上列出,检查资格
hair	n. 头发, 毛发, 毛织物, 极少量, 极短距离
deep	adj. 深的,有...深的,深奥的 adv. 深深地,晚地 n. 深处
replace	vt. 取代,更换
largely	adv. 大部分, 主要地
confirm	v. 确定, 批准, 证实
landscape	n. 风景,山水,风景画 v. 美化…的景观,进行造园工程
delay	n. 耽搁,迟滞 vt. 耽搁,延迟 vi. 耽搁
command	n.命令，指挥； 司令部，指挥部； [计算机]指令； 控制力 vt.指挥，控制，命令； 命令； 应得，值得 vi.给出命令； 命令，指令 adj.指挥的，根据命令（或要求）而作的
mistake	n. 错误,误会 vt. 弄错,误认 vi. 犯错
somehow	adv. 不知怎么地,以某种方式
port	n.港口； （事情的）意义； （计算机与其他设备的）接口； （船、飞机等的）左舷 vt.举枪； 持枪； 左转舵 vi.转向左舷 adj.左舷的，左侧的 vt.& vi.转舵（向左），把（舵）转向左边 adv.向左舷，向左
percent	adj.& adv. 百分之一,(与基数词连用)百分之... n. 百分之...
resource	n. 资源,谋略,消遣
respect	n. 尊敬, 敬重; 关系, 方面 vt. 尊敬, 尊重; 关于, 涉及
farm	n. 农场,农田 vt. 务农 vi. 务农
considerable	adj. 相当大的,可观的,重要的
bore	vbl. 忍受(动词bear的过去式) n. 令人讨厌的人,枪膛,孔,井眼,枪管口径,涌潮 vt. 使感到厌烦,钻孔,挖 vi. 挖掘,开凿
desire	n. 愿望, 欲望, 情欲 v. 向往, 要求, 请求 vt. 渴望
tomorrow	adv. 明天 n. 明天,将来
central	adj. 中心的,基本的,折中的,中枢的 n. 电话交流,中央办公室,中心
mood	n. 心情, 情绪, 语气
entire	adj. 全部的,完整的，同性质的，纯正的，全面的
space	n. 位置, 空间, 距离, 太空, 空地, 持续的一段时间 vt. &vi. 均匀隔开, 分隔
chairman	n. 主席, 会长
physical	adj. 身体的,物理的,物质的 n. 体检
reveal	vt. 显示, 透露 n. (外墙与门或窗之间的)窗侧, 门侧 n. (汽车的)窗框
yield	n. 生产量, 投资收益 v. 生产, 屈服, 投降, 弯下去, 凹下去
gather	vt.收集； 聚集，搜集； 收紧，收缩； 采集 vi.逐渐增加，积聚 n.聚集； 衣褶
feed	vt.喂养； 满足（欲望等）； 向…提供； 供…作食物 vi.吃，以…为食； 流入，注入，进入（如油流入机器）； [电子学]馈入 n.饲料（尤指粗饲料），施肥； 喂送； 草料
update	vt. &vi. 更新,补充最新资料 n. 更新
kill	n. 杀, 杀戮 v. 杀, 破坏, 消减
researcher	n.研究员
evening	n. 傍晚, 晚上
tooth	n. 牙齿
difficulty	n. 困难，争议，反对，麻烦
slightly	adv. 些微地, 苗条地
musical	adj. 音乐的 n. 音乐片
knowledge	n. 知识,了解
plain	n. 平原,草原 adj. 简单的,平坦的,平常的,家常的 adj.纯的，不掺杂的
road	n. 路
track	n. 小路, 跑道, 轨道, 踪迹; 惯例, 常规 v. 跟踪, 追踪
directly	adv. 直接地(立即,完全)
asset	n. 资产,有用的东西,优点,长处
scene	n. 场,景,情景
fine	n. 罚款,罚金,结尾 vt. 罚款 vi. 净化，细化 adj. 美好的, 优质的, 精致的，晴朗的, 健康的，纤细的，恭维的，辞藻华丽的 adv. 恰好地，合适地
cinema	n. 电影院,电影
circle	n. 圆周,社交圈,循环 vt. &vi. 包围,盘旋,环绕
nature	n.自然,自然界,自然状态; 本性,天性,性质; 质; 性格; 性; 本质
basis	n. 基础,根据,主要成分
disorder	n. 杂乱,混乱 vt. 扰乱
neck	n. 脖子,颈
negative	adj. 否定的,负的,消极的 n. 底片，负数，否定 vt. 否定
district	n. 区,地区,行政区 vt. 划分区域,划分地区
engineer	n. 工程师 v. 设计,制造 vt. 操纵,设计,建造
divide	vt.& vi.分； 划分； 分离； （使）产生分歧 n.分水岭，分界线； 分配
population	n. 人口
leader	n. 领袖, 领导者
theme	n. 题目, 主题
clothes	n. 衣服
notion	n. 观念,想法,主张
crucial	adj. 关键的,决定性的
document	n. 文件,公文 vt. 记载,用文件等证明 [计算机] 文档
domestic	adj. 国内的, 家庭的, 驯养的 n. 家仆, 佣人
upset	adj. 心烦的 vt. 加厚,推翻,扰乱 vi. 推翻 n. 推翻,混乱
adult	adj. 成年的,成人的，成熟的 n. 成年人
advertisement	n.&amp;adv. 广告
normal	adj. 正常的,正规的 n. 常态, 标准
normally	adv. 正常地,通常地
extent	n. 广度,宽度,长度,大小,范围,范围,程度 n. [律]&lt;英&gt;扣押, &lt;美&gt;临时所有权令
strategy	n. 战略, 策略
press	vt.压，按； 逼迫； 紧抱 vi.压； 逼迫； 重压 n.强迫征兵； 新闻报道，出版物； 压榨； 印刷机（厂）
pretty	adj.漂亮的； 机灵的，聪明的 adv.相当，颇 n.漂亮的人（或东西）
weapon	n. 武器, 兵器
prevent	v. 预防, 防止
stretch	n. 伸展,张开 adj. 可伸缩的 vt. &vi. 伸展,张开,延伸
freedom	n. 自由
scare	vt. 惊吓(惊恐,惊慌) vi. 受惊吓 n. 惊吓(惊恐,惊慌)
imagine	vt. 想像,幻想,猜测 vi. 想像起来,认为
beside	prep. 在...旁边,与…相比
nuclear	adj. 原子核的,原子能的
sea	n. 海, 海洋
numerous	adj. 为数众多的,许多
import	n. 进口 vi. 进口,输入 vt. 输入,进口
importance	n. 重要,重要性
drop	n. 滴,微量,落下 vt. 使落下，减少 vi. 落下，减少，减弱
beyond	adv. 在更远处,另外 n. 远处, 来世 prep. 超出, 越过,另外
absence	n. 没有；缺乏；缺席；不注意
object	n. 物, 物体, 目标, 宾语 v. 反对，提出...作为反对的理由
scream	n. 尖叫声 v. 尖叫, 大笑
improve	vt. 改进,利用,(提高)价值 vi. 改进
observation	n. 观察,观察力,评论 adj. 被设计用来观察的
king	n. 国王
anyone	pron. 任何人
obvious	adj. 明显的,显而易见的
anywhere	adv. 任何地方 pron. 任何(一个)地方
fresh	adj.新鲜的； 淡水的； 新的； 无经验的 adv.刚； 最新的 n.开始； 新生； 泛滥； 淡水流
secondary	adj. 中级的,中等的,次要的 n. 次要位置, 副手
originally	adv. 本来,原来,最初 重要的
arrange	vt. 安排,整理,计划,改编(乐曲) vi. 协商,计划
seed	n. 种子 vi. (植物)结实,播种 vt. 播种
aim	n. 目标,对准, 枪法 vt. 瞄准, 针对 vi. 旨在, 瞄准, 打算
aside	n. 旁白,顺便说的话 adv. 在一边,另外,离开
patient	adj. 有耐心的, 能忍耐的 n. 病人
self	n. 自我, 自己, 本身
easily	adj. 容易地,不费力地 adv. 容易地
board	n. 木板, 甲板, 董事会 n. 伙食; 舞台, 演员的职业; 船舷 vt. 登(飞机、车、船等); 有偿提供食宿; 用木板覆盖 vi. 搭伙
conduct	n. 行为, 举动, 品行 v. 引导, 指挥, 管理 vt. 导电, 传热
avoid	v. 避免 vt. 避免,逃避
appoint	vt. 任命,指定,预约,装饰 vi. 行使任命权
neighbor	n. 邻居 v. 邻接, 毗邻而居, 友好
connect	vt. 连接,联通,使有联系 vi. 连接,接通
efficient	adj. 效率高的,有能力的
effort	n. 努力, 努力的成果
bottom	n. 底部;臀部;船身;水底;服装下面的部分;低洼地;底色;尽头 adj. 底部的 vt. 给...装底,建立基础,到达底部 vi. 到达底部,垫底，降到最低点
famous	adj. 著名的,一流的
variation	n. 变化,变动,变种,变奏曲
spell	v. 拼写，缓慢地或吃力地读 n. 魅力，符咒 vt. 用符咒镇住(某人) n. 一段时间，轮班 v. 轮班，休息
branch	n. 分支,树枝 vt &vi. 分支, 分岔
demonstration	n. 示范,实证,表达,集会
separate	n. 分开, 抽印本 adj. 分开的, 各自的, 单独的 v. 分开, 隔开, 分居
lunch	n. 午餐 vi. 吃午餐 vt. 请客吃午餐
breast	n. 胸脯,乳房 vt. 挺胸迎...而上
retirement	n. 退休，隐匿处 adj. 退休的
behavior	n. 行为,举止
administration	n. 行政,管理,中央政府
employee	n. 雇员
violence	n. 暴力,狂热
brief	n. 摘要,简报,公事包 adj. 简短的,简洁的 v. 对...作简报,摘要
direct	adj. 笔直的,直接的,坦白的 vt. 指挥，命令，负责 vi. 指导，指出
convert	v. 使转变, 使...改变信仰, 倒置 n. 皈依者, 改宗者
cook	vi. 烧菜, 发生, 做好 vt. 编造, 烧, 虚构 n. 厨师, 烧菜
spirit	n. 精神
opportunity	n. 机会, 时机
crowd	n.人群； 群众； 一群 vi.拥挤，聚集 vt.挤满； 将…塞进； 催逼
voice	n. 声音,嗓音,呼声,歌唱才能 vt. 表达,调整声音,发音
core	n.中心，核心，精髓； 果心，果核； [地质学]地核； [计] 磁心 vt.去（果）核，挖去…的果心； 提取岩芯（样品）
engage	v. 答应, 预定, 使忙碌, 雇佣, 订婚
vote	v.投票，选举； 提议； 投票表决； 公认，由舆论决定 n.投票，表决； 投票数； 投票权； 决议
ship	n. 船,舰,船员,飞船 vt. 以船运送,乘船,运送,进水,在船上工作 vi. 上船,坐船,运送,在船上工作
shirt	n. 衬衫
council	n. 理事会,委员会, 商议
glad	adj.高兴的，乐意的； 令人高兴的，使人愉快的； （风光）明媚的，（景色）美丽的； 充满欢乐的，兴高采烈的 vt.使高兴
maintain	vt. 维持; 维修, 保养; 坚持; 断言
quickly	adv. 快, 迅速
industrial	adj. 工业的,产业的 n. 工业公司
industry	n. 工业,产业,勤勉,刻苦
waste	vt. 浪费, 使瘦弱, 逐渐消耗 vi. 挥霍, 规模缩小, 大伤元气 adj. 荒芜的, 未开垦的, 废的 n. 浪费, 废料, 垃圾, 荒漠, 凄凉的景象
burn	n. 烧伤,灼伤 vt. &vi. 燃烧,烧着,烧毁,灼伤
wave	n. 波,波浪,波动 vi. 波动, 挥动, 起伏, 挥手 vt. 使成波形
pitch	n.场地； 最高点； 音高； 说教 vt.用沥青涂； 扔，投； 树起，搭起； 定位于 vi.抛，扔； [棒球]当投手； 搭帐篷； 向前跌或冲
target	n.（服务的）对象； 目标； （射击的）靶子； 目的 vt.瞄准； 把…作为攻击目标
criminal	adj. 犯罪的, 刑事的, 无耻的 n. 罪犯
crisis	n. 危急关头,危机
enemy	n. 敌人, 有害物, 敌对势力
cultural	adj. 文化的,和养动植物有关的
blow	n. 吹；打击；殴打 vi. 风吹；喘气 vt. 风吹
representation	n. 表示法,表现,陈述，答辩
realize	vt.实现； 了解，意识到； （所担心的事）发生； 以…价格卖出 vt.& vi.变卖，赚得
everybody	pron. 每人, 人人，各人
helpful	adj. 有帮助的, 有益的
evidence	n. 根据, 证据 vt. vi. 证实, 证明
instead	adv. 代替, 反而
recommend	vt. 建议, 推荐, 劝告 vt. 使成为可取, 使受欢迎
governor	n. 统治者, 管理者, 理事
appearance	n. 外表,出现,出场
ease	n. 安乐,安逸,悠闲 vt. 使...安乐,使...安心 v. 减轻,放松
exception	n. 除外,例外
symbol	n. 符号, 标志, 象征
page	n. 页 v. (给...)当听差 vt. (通过扩音器、传呼机等)呼叫
terrible	adj. 可怕的,糟糕的,极其的
excuse	n. 借口,理由；低劣的样品,假条 vt. 原谅,辩解,准许离开,同意赦免
pair	n. 双,对,副 vt.& vi. 使...成对,配对
calculate	vt. 计算,估计,考虑,推测 vi. 计算,预测,依赖
sky	n. 天空 v. 把...投向空中，将…高挂
exhibit	n. 展览品,展览,物证 vt. 展览，展现，显出(感情或品质),提出证据 vi. 展览
interaction	n. 相互作用, 相互影响
integrate	v. 整合, 使...成整体
introduce	vt. 介绍, 引进, 采用, 提出, 提倡, 放入
decline	n. 衰微, 跌落; 晚年 v. 降低, 婉谢
reject	n. 被拒之人,不合格品,不及格者 v. 拒绝,驳回,丢弃
wild	adj. 放荡的,未开发的,野生的,原始的 n. 荒野,野生状态 adv. 野性地,未被约束地,偏离预计路线地
campaign	n. 战役; 运动, 活动 vt. 参加竞赛 vi. (从事, 组织)活动
appreciate	vt. 欣赏,感激,赏识 vt. 领会，充分意识 vi. 增值
winner	n. 获胜者
justice	n.正义； 公正； 法律制裁； 审判员，法官
rapidly	adv. 迅速地
pleasure	n. 高兴, 愉快, 快事 vt. 使高兴 vi. 享受快乐, 高兴
guard	n. 守卫者,警戒, 护卫队, 保护 vt. &vi. 保卫,看守,警惕
extreme	adj. 极度的,极端的,尽头的,严重的,末端的 n. 极端,极限
extremely	adv. 极其, 非常
capacity	n. 能力, 容量, 容积; 资格, 职位 adj. (达到最大容量)满的
significantly	adv. 较大地(重要地)
path	n.小路，路； 路线，路程； 〈比喻〉（人生的）道路； （思想，行为，生活的）途径
abandon	n. 放纵 vt. 放弃,遗弃,沉溺
shout	n. 呼喊,突发的大叫 vt. 高声呼喊，呼叫 vi. 呼叫，突然喊叫
repair	vi. 去，集合 n. 修理, 补救 v. 修理, 补救, 补偿 n. 维修工作，维修状态
careful	adj. 小心的, 仔细的
criterion	n. 标准, 准则
defeat	n. 败北,失败 vt. 击败
joke	n. 笑话,玩笑 vt.& vi. 开玩笑
threaten	vt. &vi. 威胁,构成威胁
minister	n.大臣； 部长； 公使； 牧师 vi.辅助，服侍； 执行牧师职务
definitely	adj. 明确地, 确切地 adv. 肯定地
degree	n. 学位，程度, 度数
judge	vt.& vi.审判，评判； 断定 vt.估计； 评价； （尤指）批评； 想，认为 n.法官； 裁判员； 评判员； 鉴定人
reputation	n. 声誉,好名声
license	n. 批准,许可证,特许 vt. 允许,特许
discount	n. 折扣, 贴现率 vt. 打折扣, 贴现, 不重视，不全信 vi. 贴现, 减息贷款
cat	n. 猫,猫科动物,邪恶的女人,吊锚机,单帆小船 vt. 吊锚 vi. 寻找性交伴侣 (CAT) 电子计算机横断层扫描
happy	adj. 快乐的,幸福的,乐于做某事
perceive	v. 察觉, 感觉, 认知, 理解
perfect	adj. 完美的；最好的；精通的 vt. 使完美；使熟练 n. 完成式
sex	n. 性,性别,性欲 vt. 区别...性别,引起...性欲
somewhere	adv. 在某处，到某种程度，大约，差不多
song	n. 歌曲, 歌唱艺术, 诗歌
personal	adj. 私人的,个人的 n. (报刊的)私人专栏
hate	n. 憎恨,厌恶,厌恶的人或事 vt. 憎恨,不愿 vi. 表示憎恨
south	adj. 南方的 adv. 在南方 n. 南,南方
foot	n. 脚,山脚,最底部, 一步长,音步，进程 vi. 跳舞,步行 vt. 表演舞步,付账, 踩踏, 结算
fear	n. 敬畏,害怕,担心,不安的原因 vt. 害怕,敬畏
retire	n. 退休,退职 vi. &vt. 退休,撤退
favor	[美]n. 好意,喜爱,偏爱,特权 vt. 给予,关心,偏爱,支持,利于,长得像
gold	adj. 金色的,金制的 n. 金子,金币,金黄色,金牌
mountain	n. 山,山脉,大量
charge	n. 电荷, 指控, 费用; 照顾, 责任 vt. &vi 控诉, 加罪于, 要价, 赊帐, 充电, 管理
movie	n. 电影
drama	n. 剧本,戏剧,戏剧性情节,刺激
kitchen	n. 厨房
differ	vi. 不一致,不同(意见)
author	n. 作者,创造者 vt. 创造,写作
field	n. 领域；牧场；旷野；战场；运动场 vi. 担任场外队员 adj. 扫描场；田赛的；野生的 vt. 把暴晒于场上；使上场；(通常成功地)回答，处理(问题)
ring	n. 环, 戒指, 铃声, 圈 vt. 包围, 挂铃铛 vi. 鸣响, 回响, 在空气中螺旋上扬, 形成圈
studio	n. 工作场所,画室，照相室，制片厂
height	n. 高度,高处,身高, 最高峰, 极点
award	vt.授予，奖给，判给； 判归，判定 n.奖品； （仲裁人、公断人的）裁定； （法院、法官的）判决； 裁定书
disadvantage	n. 不利, 不利条件, 损害, 损失
narrow	adj. 狭窄的，有限的；勉强的；精密的；度量小的 n. 海峡；狭窄部分，隘路 vt. 使变狭窄 vi. 变窄
disaster	n. 灾难
rarely	adv. 很少,难得
discipline	n. 训练, 纪律, 惩罚; 学科 vt. 训练, 惩罚
native	adj. 本国的,本土的,出生地的,天生的 n. 本地人,土著人
plot	n. 阴谋, 情节，图, (小块)土地， v. 绘图, 密谋, 计划，标示位置
firm	n. 商行,公司 vt. (使)变得坚实,定案 vi. 变硬,恢复 adj. 坚定的,坚固的,结实的 adv. 稳固地,坚定地
dish	n. 盘碟,菜肴,凹形 vt. 装盘,提出,揭露,挖空 vi. 闲谈
satisfaction	n. 赔偿,满意,妥善处理,乐事,确信
nearly	adv. 几乎, 差不多
classroom	n. 教室，课堂
stare	vt. 凝视,显眼,变硬 vi. 凝视 n. 凝视
pollution	n. 污染, 污染物
climate	n. 气候, 风气, 气氛
nevertheless	adv. 仍然, 不过 conj. 然而, 不过
partner	n. 合作者,搭档,配偶 vt. &vi. 同...合作,做...的搭档, 合作
assumption	n. 假定,设想,担任(职责等),假装
trust	n. 信任,信托 vi. 信任 vt. 委托,相信
fascinate	vt. 使...入迷,吸引住 vi. 有吸引力
lean	n. 瘦肉,倾斜,弯曲 adj. 瘦的,贫乏的,歉收的 vi. 倚靠,倾斜,依赖 vt. 使倾斜
nine	num.&amp;n. 九 pron.&amp;adv. 九(个,只...)
brand	n. 燃烧的木条,剑,商标,牌子,烙印,类型 vt. 打烙印,污蔑,铭记
pound	n.英镑； 磅； 兽栏； 重击声 vt.& vi.连续重击； 咚咚地走 vi.（持续地）苦干； （驾舟时）拍打（水面）； （心脏）狂跳； 脚步沉重地走（或跑） vt.连续重击； 捣碎，碾碎； 强迫吸收； 猛烈袭击
nobody	pron. 没有人 n. 无足轻重的人
noise	n. 声音,响声,喧哗声,噪声 vt. 谣传 vi. 大声说话, 发出噪音
college	n. 学院, 学校，社团，枢机主教团
doubt	n. 怀疑,疑惑,不信任 vt. 怀疑,不信任 vi. 不确定
cycle	n. 循环,周期,长期,圈,套曲,自行车, vt. 环行,骑自行车 vi. 使环行
hurt	vt. 伤害,(使)疼痛, 损害 vi. 受疼痛，破坏 n. 打击，创伤
north	adj. 北,北方(的) adv. 向北方 n. 北,北方
identify	vt.识别，认出； 确定； 使参与； 把…看成一样 vi.确定； 认同
forget	vt. &vi. 忘记,忽略
investor	n. 投资者
